"","Genus_num","PD","MPD","MPD.z","MNTD","MNTD.z","Adult.diel.activity..Kawahara.ADA.","Lin.ADA","ADA.Notes","ADA.Source","Superfamily..group.in.Kawahara.2019","Superfamily","Family","Genus","Common.name","Habitat","Mimicry...aposematism","Mimicry..aposematism.source","Distribution","Climate.zone","Adult.active.season","Altitude","Geography.source","feeding.type","Host.range..HR.","HR..loose.","Host.plant.notes","HR.Notes","Host.type","HR.Source"
"Thyatira batis",2,409.356259,168.6108,-1.11663553506436,168.6108,-1.01528574295381,0,"nocturnal","nocturnal. Not in Kawahara et al. 2018a.","https://en.wikipedia.org/wiki/Peach_blossom
Shapoval and Shapoval 2007","Drepanoidea","Drepanoidea","Drepanidae","Thyatira","Peach blossom","-","Cryptic grey-brown","Inferred from photo"," Europe and east through the Palearctic to Japan and Mongolia","Temporate (30N-50N)","June-September","?","https://en.wikipedia.org/wiki/Peach_blossom
Tshistjakov 2007","folivore","1","1","Feed on Rubus sp. (Rosaceae)","specialist","broadleaf tree","Tshistjakov 2007"
"Biston betularia",55,4463.28925,282.031975360269,1.45215638560374,113.957786363636,-0.0486199738565836,0,"nocturnal","Nocturnal","Grant and Howlett 1988","Geometroidea","Geometroidea","Geometridae","Biston","Pepper moth","Forests, woodlots, parks.","bark mimic","Even Dankowicz learned this in elementary school, see also https://en.wikipedia.org/wiki/Peppered_moth_evolution","China , Russia, Mongolia, Japan, North Korea, South Korea, Nepal, Kazakhstan, Kyrgyzstan, Turkmenistan, Georgia, Azerbaijan, Armenia, Europe and North America","Temperate (30N-60N)","?","?","Han et al. 2011","folivore","0","0","generalists feed on Acer (Sapindaceae), Alnus (Betulaceae), Amelanchier (Rosaceae), Aster (Asteraceae), Betula (Betulaceae), Juglans (Juglandaceae), Larix (Pinaceae), Malus, Prunus (Rosaceae), Quercus (Fagaceae), Rhus (Anacardiaceae), Ribes (Grossulariaceae), and Salix (Salicaceae)","generalist","broadleaf tree and shrub","Tietz 1972"
"Tineola bisselliella",0,0,NA,NA,NA,NA,2,"crepuscular","peak activity are after sunset.","Cox and Pinniger 2007","Tineoidea","Tineoidea","Tineidae","Tineola","Common cloth moth","-","Cryptic grey-brown","Inferred from photo","World wide","?","year round.","?","Cox and Pinniger 2007","detritivore","?","?","feed on wool and fabrics, storage food.","?","?","Cox and Pinniger 2007"
"Helicopsyche borealis",0,0,NA,NA,NA,NA,2,"","","","","Sericostomatoidea","Helicopsychidae","Helicopsyche","","near fast-flowing streams and rivers, but also shallow areas of lakes, thermal springs","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Operophtera brumata",31,2485.506656,266.060621544086,0.409099498178798,92.0961180967742,-2.63924462127188,0,"nocturnal","adult active at night","Nowinszkyet al. 2012","Geometroidea","Geometroidea","Geometridae","Operophtera","Winter moth","hardwood forests","Cryptic grey-brown","Inferred from photo","Europe and the Near East, also North America, Russia, Japan, North Africa","Temperate (60N-25N)","Late fall-early winter","?","https://en.wikipedia.org/wiki/Winter_moth","folivore","0","0","feed on at least 14 different families. Such as genus Quercus (Fagaceae), Malus (Rosaceae), Prunus, Crataegus (Rosaceae), Corylus (Betulaceae), Fagus (Fagaceae)","generalist","broadleaf tree and shrub","Wint 1983"
"Polygonia c-album",14,1429.810517,211.239045615385,-1.43313475687143,146.316215642857,-0.968645519302313,1,"diurnal","diurnal","Janz et al. 1994","Papilionoidea","Papilionoidea","Nymphalidae","Polygonia","Comma","primarily a woodland butterfly, where it can be seen along woodland rides and country lanes. However, especially in late summer, the butterfly is frequently seen in gardens where it feeds in on nectar sources to build up its fat reserves before entering hibernation.","-","-","Europe, North Africa, and Asia","Temperate (65N-35N)","June-August","?","Söderlind and Nylin 2011","folivore","0","0","polyphagous can feed on Urtica dioica (Urticaceae), Ulmus glabra (Ulmaceae), Salix caprea (Salicaceae), Ribes uva-crispa (Grossulariaceae), and Betula pubescens (Betulaceae)","generalist","shrub and boadleaf tree","Nylin 1988
Janz et al. 1994"
"Phymatopus californicus",3,471.77428,180.305552,-1.08644371840995,113.142215666667,-2.15120751241841,2,"crepuscular","crecrepuscular","Turner 2013","Lophocoronoidea/Hepialoidea","Hepialoidea","Hepialidae","Phymatopus","Lupine ghost moth","-","Cryptic grey-brown","Inferred from photo","North America","Subtropics (37N)","March-May","?","Maron 2001
https://en.wikipedia.org/wiki/Phymatopus_californicus","rhizophagous and stem borer","1","1","feed on bush lupine, Lupinus arboreus (Fabaceae)","specialist","shrub","Maron 2001
https://en.wikipedia.org/wiki/Phymatopus_californicus"
"Micropterix calthella",0,0,NA,NA,NA,NA,1,"diurnal","diurnal","Erenler and Gillman 2010","Micropterigoidea/Agathiphagoidea/Heterobathioidea","Micropterigoidea","Micropterigidae","Micropterix","Marsh marigold moth","Damp woodland, woodland rides and woodland clearings.","Cryptic grey-brown","Inferred from photo","Northern Europe to Central Siberia","Temperate (50N-65N)","April-June","?","Erenler and Gillman 2010","folivore, detritivore","?","?","feed on possibly leaf detritus (especially Carex sylvatica) and fungal hyphae","specialist","broadleaf tree","Erenler and Gillman 2010"
"Nectopsyche candida",NA,NA,NA,NA,NA,NA,2,"","","","","Leptoceroidea","Leptoceridae","Nectopsyche","","near standing or slow-moving water with sandy bottom and vegetation","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Semomesia capanea",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Kawahara et al. 2019","Papilionoidea","Papilionoidea","Riodinidae","Semomesia","?","-","-","-","Amazonian region","?","?","?","Salazar-E 2009","?","?","?","?","?","?","?"
"Anthocharis cardamines",9,505.641718,51.3994218888889,-4.74509076367154,41.4635464444444,-4.31080415020761,1,"diurnal","diurnal","Wiklund and Åhrberg 1978","Papilionoidea","Papilionoidea","Pieridae","Anthocharis","Orange tip butterfly","country lanes, hedgerows, riverbanks, woodland margins and rides, and damp meadows. The species will also turn up in gardens.","-","-","Europe and temperate Asia","Temperate (70N-40N)","May-July","0-2700m","Kudrna et al. 2011","folivore","1","1","feed on Cardamine and Alliaria species (Brasicaceae)","specialist","herbaceous plant","Courtney and  Duggan 1983"
"Calycopis cecrops",7,808.085329,203.499093809524,-1.23581611271244,138.238391857143,-1.66362909183067,1,"diurnal","diurnal","Brou Jr 2005","Papilionoidea","Papilionoidea","Lycaenidae","Calycopis","Red-banded hairstreak","Coastal hammocks, overgrown fields, forest edges.","-","-","Southeastern United States","Subtropics and Temperate (45N-25N)","year round.","?","Brou Jr 2005","folivore","1","1","feed on species in Anacardiaceae, such as sumac.","specialist","herbaceous plant","Brou Jr 2005"
"Hemiargus ceraunus",15,965.167234,130.985642704762,-4.29561360121066,74.7804805333333,-3.50602219000647,1,"diurnal","diurnal","Daniels 2009","Papilionoidea","Papilionoidea","Lycaenidae","Hemiargus","Ceraunus blue","Open woodland, desert scrub, dunes, pastures, road edges, and vacant lots.","-","-","North, Central, and South America","Tropics, Subtropic, Temperate (35N-35S)","year round.","?","Daniels 2009","folivore","1","1","feed on species of Fabaceae, such as rosary pea, Abrus precatorius","specialist","herbaceous plant","Daniels 2009"
"Luehdorfia chinensis",2,331.01063,11.91972,-2.94642310081115,11.91972,-2.63077155839627,1,"diurnal","diurnal","Decheng et al. 1998","Papilionoidea","Papilionoidea","Papilionidae","Luehdorfia","Chinese luehdorfia","-","-","-","China","Subtropics (35N-30N)","March-May","0-2100m","Decheng et al. 1998","folivore","1","1","feed on Asarum f orbesii and Asarum sieboldii (Aristolochiaceae)","specialist","herbaceous plant","Decheng et al. 1998"
"Lacosoma chiridota",2,336.827369,23.5534,-2.31718707799109,23.5534,-2.72838732413416,3,"all","dirunal, but can also be attracted to light at night.","Laurent and Carvalho 2017","Mimallonoidea","Mimallonoidea","Mimallonidae","Lacosoma","?","Many forest types, wherever oak (Quercus) is found","Cryptic grey-brown","Inferred from photo","North America","Sutropics and Temperate (50N-25N)","?","?","Laurent and Carvalho 2017","folivore","1","1","feed on Fagaceae","specialist","broadleaf tree","Laurent and Carvalho 2017"
"Euproctis chrysorrhoea",42,3152.029283,223.23359029036,-1.86897163437981,102.454857952381,-1.55526207718676,0,"nocturnal","nocturnal. Not in Kawahara et al. 2018a.","Shapoval and Shapoval 2007","Noctuoidea","Noctuoidea","Erebidae","Euproctis","Brown-tail moth","Euproctis chrysorrhoea inhabits hedgerows, alleys, shrubby grasslands, dunes, warm, bright forests, orchards and similar places.","??","","Europe, neighboring countries in Asia, and the north coast of Africa.","Tropics, Subtropics, Temperate (60N-6S)","June-July","?","Marques et al. 2014
Forestry Compendium 2005 (https://www.cabi.org/isc/datasheet/23353)","folivore","0","0","very polyphagous. Feed on 26 genera of non-resinous trees and shrubs belonging to 13 different families.","generalist","broadleaf tree","Marques et al. 2014"
"Melitaea cinxia",7,786.773058,209.851565714286,-1.07963324568696,118.910855142857,-1.96750899709373,1,"diurnal","diurnal","Van Nouhuys et al. 2003","Papilionoidea","Papilionoidea","Nymphalidae","Melitaea","Glanville fritillary","woodland glades, sub-alpine meadows, field edges, and open grassland.","-","-","Europe, Norrthwest Africa","Temperate (60N-35N)","June-July","?","Ojanen et al. 2013","folivore","1","1","feed on either Plantoago lanceolata (ribwort plantain) or Veronica spicata (spiked speedwell) (Plantaginaceae)","specialist","herbaceous plant","Van Nouhuys et al. 2003"
"Phyllocnistis citrella",12,1074.333007,204.302696606061,-1.46180985091803,107.942337,-2.45895415082425,3,"nocturnal","peak activity at night.","Stelinski and Rogers 2008","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Gracillariidae","Phyllocnistis","Citrus leaf miner","citrus pest","Cryptic grey-brown","Inferred from photo","Asia, Africa, Australia, North America","Tropics, Subtropics and Temperate (40N-40S","?","?","Heppner 1993","folivore, miner","0","0","feed on species of Rutaceae, but also Oleaceae, Loranthaceae, Lauraceae, Fabaceae.","generalist","broadleaf tree","Heppner 1993"
"Coptotriche citrinipennella",0,0,NA,NA,NA,NA,0,"nocturnal","same species of the genus are nocturnal","Fasoranti 2009","Palaephatoidea/Tischerioidea","Tischerioidea","Tischeriidae","Coptotriche","?","-","Cryptic grey-brown","Inferred from photo","North American","Temperate (50N-30N)","?","?","https://en.wikipedia.org/wiki/Coptotriche_citrinipennella","folivore, miner","1","1","feed on Fagaceae","specialist","broadleaf tree","Stonis and Arūnas 2008
https://en.wikipedia.org/wiki/Coptotriche_citrinipennella"
"Junonia coenia",26,1212.726828,112.870577541538,-6.06128258284139,58.1517869230769,-4.5422439026156,1,"diurnal","diurnal","Camara 1997","Papilionoidea","Papilionoidea","Nymphalidae","Junonia","Common buckeye","Open, sunny areas with low vegetation and some bare ground.","-","-","North and Central America","Tropics, Subtropics and Temperate (50N-15N)","year round.","?","Camara 1997","folivore","0","0","larvae have been recorded feeding on plants in the Scrophulariaceae, Plantaginaceae, Verbenaceae, Acanthaceae, and Cornaceae, all of which contain iridoid glycosides","generalist","herbaceous plant","Bowers 1984"
"Leucoptera coffeella",2,328.057982,6.0147,-2.60481668716315,6.0147,-1.99934352713269,1,"diurnal","diurnal","Pereira et al. 2007","Gracillarioidea/Yponomeutoidea","Yponomeutoidea","Lyonetiidae","Leucoptera","Coffee leafminer","coffee-growing country","Cryptic grey-brown","Inferred from photo","Central and South America","Tropics (25N-25S)","?","?","Pereira et al. 2007","folivore","1","1","feed on coffee (Rubiaceae)","specialist","broadleaf tree","Pereira et al. 2007"
"Parum colligata",2,342.470603,34.8394,-2.00660144060666,34.8394,-2.26608162814762,0,"nocturnal","adult can be collected at night. However, in another survey, it can never been capture using light trap in Taiwan.","Koshkin and Kostyunin 2017
趙榮台 et al. 1999
","Bombycoidae","Bombycoidae","Sphingidae","Parum","Paper-mulberry hawkmoth","-","Cryptic grey-brown","Inferred from photo"," Korea and Japan south throughout eastern and central China and Taiwan to Vietnam, northern Thailand and north-eastern Myanmar","Tropics, Subtropics (40N-15N)","May-July","?","https://en.wikipedia.org/wiki/Parum
Koshkin and Kostyunin 2017","folivore","1","1","feed on paper burry, Broussonetia spp. (Moraceae)","specialist","broadleaf tree","Koshkin and Kostyunin 2017"
"Megalopyge crispata",14,1254.785921,214.650200252747,-1.37983578309016,104.597174928571,-2.25986449554349,0,"nocturnal","Some species in the genus are nocturnal.","Dreisig 1980","Zygaenoidea","Zygaenoidea","Megalopygidae","Megalopyge","Black-waved flannel moth","Deciduous forests","Cryptic grey-brown","Inferred from photo","North America, east coast of the United States","Temperate (45N-25N)","May-October","?","http://mothphotographersgroup.msstate.edu/species.php?hodges=4644","folivore","0","0","polyphagous","generalist","broadleaf tree and shrub","https://en.wikipedia.org/wiki/Megalopyge_crispata"
"Bucculatrix cristatella",4,347.230985,17.6936355,-3.70570356490674,13.02560525,-3.97065197480266,1,"diurnal","diurnal","Kawahara  et al. 2018a","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Bucculatricidae","Bucculatrix","?","Where Yarrow is present. =>  roadsides, meadows, fields and coastal places","Cryptic grey-brown","Inferred from photo"," Europe (except the Iberian Peninsula and the Balkan Peninsula)","Temperate (65N-45N)","May-June, July-August","?","https://en.wikipedia.org/wiki/Bucculatrix_cristatella","folivore, miner","1","1","feed on Achillea millefolium, Anthemis tinctoria, Chrysanthemum species and Leucanthemopsis alpina (Asteraceae) ","specialist","herbaceous plant","Walczak 2011
https://en.wikipedia.org/wiki/Bucculatrix_cristatella"
"Colias croceus",3,392.050587,77.6177286666667,-2.4250255891225,56.3825143333333,-3.19858509667841,1,"diurnal","diurnal","Woronik et al. 2018","Papilionoidea","Papilionoidea","Pieridae","Colias","Clouded yellow","any open area in the countryside, including downland, coastal cliffs and fields containing the caterpillar's host plants, at an elevation up to 1,600 metres (5,200 ft) above sea level","-","-","Southern Europe and North Africa","Subtropics and Temperate (60N-30N)","March-October","0-1600m","Riley 2007","folivore","1","1","feed on many legume (Fabaceae)","specialist","herbaceous plant","Woronik et al. 2018"
"Pseudothyatira cymatophoroides",14,1201.293824,198.500628747253,-1.81083950367765,107.466044285714,-2.28211286976259,0,"nocturnal","nocturanl and also capture in duck. Not in Kawahara et al. 2018a.","http://www.entomology.ualberta.ca/searching_species_details.php?c=8&rnd=22020612&s=1378
Hanham 1899","Drepanoidea","Drepanoidea","Drepanidae","Pseudothyatira","Tufted thyatirid moth","This species is common in a variety of moist forests. It occurs in coastal rainforests at low to middle elevations west of the Cascades. It is found in moist mixed hardwood-conifer forests of the Rocky Mountain region and in boreal forest in British Columbia.","Cryptic grey-brown","Inferred from photo","North America in Newfoundland, British Columbia, northern California, Maryland, West Virginia, Kansas and North Carolina.","Temporate (20N-50N)","June-July","?","http://www.entomology.ualberta.ca/searching_species_details.php?c=8&rnd=22020612&s=1378","folivore","0","0","Feed on Betula sp. (Betulaceae) and Prunus sp. (Rosaceae). Also wide variety of deciduous tree and shrubs. ","generalist","broadleaf tree","https://en.wikipedia.org/wiki/Pseudothyatira
http://www.entomology.ualberta.ca/searching_species_details.php?c=8&rnd=22020612&s=1378
Llewellyn-Jones 1934
"
"Adhemarius daphne",NA,NA,NA,NA,NA,NA,0,"nocturnal","attracted by light at night.","Drechsel 2014
Vieira et al. 2015","Bombycoidae","Bombycoidae","Sphingidae","Adhemarius","?","-","??","","Brazil, Bolivia, Argentina and Paraguay, as well as Cuba and Costa Rica","Tropics,Subtropics, Temperate (25N-40S)","March, November","?","https://en.wikipedia.org/wiki/Adhemarius_daphne
Cock 2018","folivore","1","1","feed on Ocotea (Lauraceae) (flower fragrance at night.)","specialist","broadleaf tree","van der Werff 2014"
"Urodus decens",NA,NA,NA,NA,NA,NA,0,"nocturnal","no record for this species but speice from the same genus U. parvula show nocturnal activity.","Frost 1972","Choreutoidea/Urodoidea","Urodoidea","Urodidae","Urodus","?","-","Cryptic grey-brown","Inferred from photo","Central and South America","Tropics and Subtropics (20N-50S)","?","?","Kyrki 1988","folivore","0","1","no record for the species. Species from the same genus U. parvula feed on Persea borbonia (Lauraceae) and Sideroxylon reclinatum (Spotaceae)","generalist","broadleaf tree","http://entnemdept.ufl.edu/creatures/BFLY/BFLY2/bumelia_webworm.html#hosts"
"Nemophora degeerella",2,369.176758,88.2524,-1.64174559331404,88.2524,-1.73888886426037,1,"diurnal","adults are diurnal","https://en.wikipedia.org/wiki/Longhorn_moth","Adeloidea/Andesianoidea","Adeloidea","Adelidae","Nemophora","Long-horn moth","Deciduous, often damp, woodland and around well wooded hedgerows and lanes.","Cryptic grey-brown","Inferred from photo","Temperate Europe north of the Alps, from Portugal to Finland, CentralRussia and Ukraine","Temperate (65N-40N)","May-July","?","Kozlov et al. 2017
https://en.wikipedia.org/wiki/Longhorn_moth","folivore","1","1","feed on birch leaf litter (Betula spp, Betulaceae)","specialist","broadleaf tree","https://en.wikipedia.org/wiki/Longhorn_moth#cite_note-5
https://ukmoths.org.uk/species/nemophora-degeerella/"
"Alucita desmodactyla",2,339.33936,28.577567,-2.1814681138296,28.577567,-2.47999693153703,0,"all","the citation does not have this specific species, Kawahara use the activity in this genus in general for the ADA score. many species fly at dusk and night, some species also fly in day time (A.  Adriendenisi, A.  lalannei)","Landry  and Landry 2004","Alucitoidea/
Pterophoroidea","Alucitoidea","Alucitidae","Alucita","many-plumed moth","""slope steppes to fresh deciduous woodlands on altitudes between 90 and 600 meters""","Cryptic grey-brown","Inferred from photo","Europe","Mediterranean and Oceanic (35N-55N)","March-June; July-December","90-600","https://en.wikipedia.org/wiki/Alucita_desmodactyla
","flower miner ","1","1","Stachys alpina, S. recta, S. sylvatica (Lamiaceae).
Most species are monophagous.
","specialist","herbaceous","https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/lepidoptera/ditrysia/apoditrysia/alucitoidea/alucitidae/alucita/alucita-desmodactyla/"
"Mustilizans dierli",2,436.19938,222.297188,-0.362534440241415,222.297188,-0.382246390536012,3,"nocturnal","adult can be collected at night.","Zolotuhin 2007","Bombycoidae","Bombycoidae","Endromidae","Mustilizans","?","-","Cryptic grey-brown","Inferred from photo","India, China, Myanmar, Nepal, Pakistan, Sundaland, Thailand and Vietnam","Tropics and Subtropics (30N-10N)","?","0-2000m","Kaleka et al. 2020","folivore","0","1","feed on Broussonetia
papyrifera (Moraceae) and Quercus incana (Fagaceae)","generalist","broadleaf tree","Kaleka et al. 2020"
"Hemaris diffinis",10,895.66234,195.721706622222,-1.52468784317358,84.0034866,-2.82229266366745,0,"diurnal","Diurnal","Powell 1997","Bombycoidae","Bombycoidae","Sphingidae","Hemaris","Snowberry clearwing","A wide variety of open habitats, streamsides, fields, gardens, and suburbs.","Hummingbird moth","Inferred from photo","North America","Subtropics and Temperate (50N-25N)","?","?","https://en.wikipedia.org/wiki/Hemaris_diffinis","folivore","1","1","feed on Caprfoliaceae","specialist","vine","Schmidt 2018"
"Grapholita dimorpha",2,375.784036,101.466394,-1.89899739568026,101.466394,-1.51116219565152,0,"nocturnal","active in the evening and night.","Murakami et al. 2005","Immoidea/Tortricoidea","Tortricoidea","Tortricidae","Grapholita","Plum fruit moth","-","Cryptic grey-brown","Inferred from photo","Asian origin, widely distributed in Subtropics and Temperate regions","Subtropics and Temperate (50N-25N)","?","?","Sarker and Lim 2019","frugivore","1","1","feed on species of Rosaceae.","specialist","broadleaf tree","Sarker and Lim 2019"
"Lymantria dispar",80,6440.11479,331.014754299367,5.57004512398231,116.603505675,1.99408183301257,1,"all","active during the whole day","Fullard and Napoleone 2001","Noctuoidea","Noctuoidea","Erebidae","Lymantria","Gypsy moth","temperate forests or wooded areas","Cryptic grey-brown","Inferred from photo","Europe, Africa, and North America.","Temperate (65N-30N)","July-September","?","Roy et al. 1995","folivore","1","1","polyphagous","generalist","broadleaf tree, shrub, herbaceous plant","Barbosa and Greenblatt 1979"
"Macaria distribuaria",2,335.94056,21.7808,-2.60253042158077,21.7808,-2.18922731366354,0,"all","M. xanthometata active during the day and night.","Covell et al. 1984","Geometroidea","Geometroidea","Geometridae","Macaria","Southern coastal plain angle moth","-","Cryptic grey-brown","Inferred from photo","Caribbean Sea, Central America, and North America","Tropics, Subtropics and Temperate (45N-5N)","?","?","https://en.wikipedia.org/wiki/Macaria_distribuaria","folivore","1","1","feed on pine (Pinaceae)","specialist","conifer","Covell et al. 1984"
"Hemerophila diva",2,336.973303,23.8448,-3.31733892373885,23.8448,-2.57807720464335,1,"diurnal","diurnal","Rota 2008","Choreutoidea/Urodoidea","Choreutoidea","Choreutidae","Hemerophila","Diva Hemerophila moth","-","-","-","North America, Florida and Cuba","Subtropics (30N-20N)","April-June and November-December","?","Heppner 1991
https://en.wikipedia.org/wiki/Hemerophila_diva","folivore","1","1","feed on Ficus spp (Moraceae)","specialist","broadleaf tree","Heppner 1991
https://en.wikipedia.org/wiki/Hemerophila_diva"
"Calledapteryx dryopterata",2,342.574332,35.0478,-2.63237762850935,35.0478,-2.92906465301702,0,"nocturnal","adult can be attracted by light at night","Voss 2002","Geometroidea","Geometroidea","Uraniidae","Calledapteryx","Brown scoopwing moth","Presumably woodlands, edges, with hostplants (Viburnum spp.)","Cryptic grey-brown","Inferred from photo","Eastern United States","Temperate (50N-25N)","May-September","?","https://bugguide.net/node/view/477","folivore","1","1","feed on Viburnum spp (Adoxaceae), such as Viburnum nudum  which bloom during May and June with fragrant flower.","specialist","shrub","https://bugguide.net/node/view/1636292/bgimage"
