Butterfly species name,Host family,Host genus
Euproctis chrysorrhoea,Polygonaceae,Rumex
Euproctis chrysorrhoea,Salicaceae,Salix
Euproctis chrysorrhoea,Caprifoliaceae,Sambucus
Euproctis chrysorrhoea,Rosaceae,Sorbus
Euproctis chrysorrhoea,Malvaceae,Tilia
Euproctis chrysorrhoea,Fabaceae,Trifolium
Euproctis chrysorrhoea,Ulmaceae,Ulmus
Euproctis chrysorrhoea,Viburnaceae,Viburnum
Euproctis chrysorrhoea,Vitaceae,Vitis
Euproctis chrysorrhoea,Caprifoliaceae,Weigela
Euproctis chrysorrhoea,Fabaceae,Wisteria
Lymantria dispar,Pinaceae,Abies
Lymantria dispar,Sapindaceae,Acer
Lymantria dispar,Betulaceae,Alnus
Lymantria dispar,Rosaceae,Amelanchier
Lymantria dispar,Araliaceae,Aralia
Lymantria dispar,Berberidaceae,Berberis
Lymantria dispar,Betulaceae,Betula
Lymantria dispar,Betulaceae,Carpinus
Lymantria dispar,Juglandaceae,Carya
Lymantria dispar,Fagaceae,Castanea
Lymantria dispar,Bignoniaceae,Catalpa
Lymantria dispar,Pinaceae,Cedrus
Lymantria dispar,Cannabaceae,Celtis
Lymantria dispar,Asteraceae,Chaenactis
Lymantria dispar,Rutaceae,Citrus
Lymantria dispar,Clethraceae,Clethra
Lymantria dispar,Myricaceae,Comptonia
Lymantria dispar,Cornaceae,Cornus
Lymantria dispar,Betulaceae,Corylus
Lymantria dispar,Rosaceae,Crataegus
Lymantria dispar,Caprifoliaceae,Diervilla
Lymantria dispar,Ebenaceae,Diospyros
Lymantria dispar,Fagaceae,Fagus
Lymantria dispar,Oleaceae,Fraxinus
Lymantria dispar,Ericaceae,Gaylussacia
Lymantria dispar,Ginkgoaceae,Ginkgo
Lymantria dispar,Fabaceae,Gleditsia
Lymantria dispar,Fabaceae,Gymnocladus
Lymantria dispar,Hamamelidaceae,Hamamelis
Lymantria dispar,Aquifoliaceae,Ilex
Lymantria dispar,Iridaceae,Iris
Lymantria dispar,Juglandaceae,Juglans
Lymantria dispar,Cupressaceae,Juniperus
Lymantria dispar,Ericaceae,Kalmia
Lymantria dispar,Pinaceae,Larix
Lymantria dispar,Ericaceae,Leucothoe
Lymantria dispar,Oleaceae,Ligustrum
Lymantria dispar,Lauraceae,Lindera
Lymantria dispar,Altingiaceae,Liquidambar
Lymantria dispar,Moraceae,Maclura
Lymantria dispar,Rosaceae,Malus
Lymantria dispar,Myricaceae,Myrica
Lymantria dispar,Cornaceae,Nyssa
Lymantria dispar,Betulaceae,Ostrya
Lymantria dispar,Lauraceae,Persea
Lymantria dispar,Rosaceae,Physocarpus
Lymantria dispar,Pinaceae,Picea
Lymantria dispar,Pinaceae,Pinus
Lymantria dispar,Anacardiaceae,Pistacia
Lymantria dispar,Platanaceae,Platanus
Lymantria dispar,Salicaceae,Populus
Lymantria dispar,Rosaceae,Prunus
Lymantria dispar,Rosaceae,Pyrus
Lymantria dispar,Fagaceae,Quercus
Lymantria dispar,Ericaceae,Rhododendron
Lymantria dispar,Anacardiaceae,Rhus
Lymantria dispar,Grossulariaceae,Ribes
Lymantria dispar,Fabaceae,Robinia
Lymantria dispar,Rosaceae,Rosa
Lymantria dispar,Rosaceae,Rubus
Lymantria dispar,Polygonaceae,Rumex
Lymantria dispar,Salicaceae,Salix
Lymantria dispar,Caprifoliaceae,Sambucus
Lymantria dispar,Lauraceae,Sassafras
Lymantria dispar,Smilacaceae,Smilax
Lymantria dispar,Rosaceae,Sorbus
Lymantria dispar,Rosaceae,Spiraea
Lymantria dispar,Araceae,Symplocarpus
Lymantria dispar,Tamaricaceae,Tamarix
Lymantria dispar,Cupressaceae,Taxodium
Lymantria dispar,Cupressaceae,Thuja
Lymantria dispar,Malvaceae,Tilia
Lymantria dispar,Anacardiaceae,Toxicodendron
Lymantria dispar,Pinaceae,Tsuga
Lymantria dispar,Ulmaceae,Ulmus
Lymantria dispar,Ericaceae,Vaccinium
Lymantria dispar,Viburnaceae,Viburnum
Lymantria dispar,Vitaceae,Vitis
Lymantria dispar,Poaceae,Zea
Lymantria dispar,Araucariaceae,
Lymantria dispar,Taxaceae,
Phragmatobia fuliginosa,Ericaceae,Andromeda
Phragmatobia fuliginosa,Ericaceae,Calluna
Phragmatobia fuliginosa,Onagraceae,Chamaenerion
Phragmatobia fuliginosa,Onagraceae,Epilobium
Phragmatobia fuliginosa,Asteraceae,Eupatorium
Phragmatobia fuliginosa,Rosaceae,Filipendula
Phragmatobia fuliginosa,Oleaceae,Fraxinus
Phragmatobia fuliginosa,Asteraceae,Helianthus
Phragmatobia fuliginosa,Asteraceae,Jacobaea
Phragmatobia fuliginosa,Rosaceae,Malus
Phragmatobia fuliginosa,Poaceae,Molinia
Phragmatobia fuliginosa,Plantaginaceae,Plantago
Phragmatobia fuliginosa,Polygonaceae,Polygonum
Phragmatobia fuliginosa,Rosaceae,Potentilla
Phragmatobia fuliginosa,Rosaceae,Prunus
Phragmatobia fuliginosa,Rosaceae,Rubus
Phragmatobia fuliginosa,Polygonaceae,Rumex
Phragmatobia fuliginosa,Salicaceae,Salix
Phragmatobia fuliginosa,Asteraceae,Solidago
Phragmatobia fuliginosa,Araceae,Symplocarpus
Phragmatobia fuliginosa,Asteraceae,Taraxacum
Phragmatobia fuliginosa,Fabaceae,Trifolium
Phragmatobia fuliginosa,Ericaceae,Vaccinium
Phragmatobia fuliginosa,Asteraceae,Vernonia
Phyllodes eyndhovii,Fabaceae,Acacia
Dyseriocrania subpurpurella,Fagaceae,Quercus
Tuta absoluta,Solanaceae,Solanum
Biston betularia,Sapindaceae,Acer
Biston betularia,Betulaceae,Alnus
Biston betularia,Rosaceae,Amelanchier
Biston betularia,Asteraceae,Artemisia
Biston betularia,Asteraceae,Aster
Biston betularia,Betulaceae,Betula
Biston betularia,Fabaceae,Caragana
Biston betularia,Fagaceae,Castanea
Biston betularia,Rhamnaceae,Ceanothus
Biston betularia,Ericaceae,Chamaedaphne
Biston betularia,Asteraceae,Chrysanthemum
Biston betularia,Myricaceae,Comptonia
Biston betularia,Cornaceae,Cornus
Biston betularia,Betulaceae,Corylus
Biston betularia,Rosaceae,Crataegus
Biston betularia,Celastraceae,Euonymus
Biston betularia,Fagaceae,Fagus
Biston betularia,Rosaceae,Filipendula
Biston betularia,Rosaceae,Fragaria
Biston betularia,Rhamnaceae,Frangula
Biston betularia,Ginkgoaceae,Ginkgo
Biston betularia,Iridaceae,Gladiolus
Biston betularia,Fabaceae,Gleditsia
Biston betularia,Fabaceae,Hedysarum
Biston betularia,Rosaceae,Holodiscus
Biston betularia,Cannabaceae,Humulus
Biston betularia,Clusiaceae,Hypericum
Biston betularia,Juglandaceae,Juglans
Biston betularia,Pinaceae,Larix
Biston betularia,Oleaceae,Ligustrum
Biston betularia,Fabaceae,Lupinus
Biston betularia,Lythraceae,Lythrum
Biston betularia,Rosaceae,Malus
Biston betularia,Fabaceae,Melilotus
Biston betularia,Myricaceae,Myrica
Biston betularia,Pinaceae,Picea
Biston betularia,Pinaceae,Pinus
Biston betularia,Salicaceae,Populus
Biston betularia,Rosaceae,Prunus
Biston betularia,Rosaceae,Pyrus
Biston betularia,Fagaceae,Quercus
Biston betularia,Anacardiaceae,Rhus
Biston betularia,Grossulariaceae,Ribes
Biston betularia,Fabaceae,Robinia
Biston betularia,Rosaceae,Rosa
Biston betularia,Rosaceae,Rubus
Biston betularia,Salicaceae,Salix
Biston betularia,Elaeagnaceae,Shepherdia
Biston betularia,Rosaceae,Sorbaria
Biston betularia,Rosaceae,Sorbus
Biston betularia,Rosaceae,Spiraea
Biston betularia,Malvaceae,Tilia
Biston betularia,Fabaceae,Trifolium
Biston betularia,Ulmaceae,Ulmus
Biston betularia,Ericaceae,Vaccinium
Ectropis obliqua,Sapindaceae,Acer
Ectropis obliqua,Araliaceae,Aralia
Ectropis obliqua,Theaceae,Camellia
Ectropis obliqua,Fagaceae,Castanea
Ectropis obliqua,Coriariaceae,Coriaria
Ectropis obliqua,Caprifoliaceae,Diervilla
Ectropis obliqua,Fabaceae,Glysine
Ectropis obliqua,Juglandaceae,Juglans
Ectropis obliqua,Lauraceae,Lindera
Ectropis obliqua,Caprifoliaceae,Lonicera
Ectropis obliqua,Rosaceae,Malus
Ectropis obliqua,Sabiaceae,Meliosma
Ectropis obliqua,Fagaceae,Quercus
Ectropis obliqua,Fabaceae,Robinia
Ectropis obliqua,Salicaceae,Salix
Ectropis obliqua,Fabaceae,Trifolium
Macaria distribuaria,Pinaceae,Pinus
Nemoria lixaria,Sapindaceae,Acer
Nemoria lixaria,Myricaceae,Myrica
Nemoria lixaria,Fagaceae,Quercus
Operophtera brumata,Sapindaceae,Acer
Operophtera brumata,Rosaceae,Amelanchier
Operophtera brumata,Betulaceae,Betula
Operophtera brumata,Ericaceae,Calluna
Operophtera brumata,Betulaceae,Carpinus
Operophtera brumata,Betulaceae,Corylus
Operophtera brumata,Rosaceae,Cotoneaster
Operophtera brumata,Rosaceae,Crataegus
Operophtera brumata,Rosaceae,Cydonia
Operophtera brumata,Fagaceae,Fagus
Operophtera brumata,Rhamnaceae,Frangula
Operophtera brumata,Oleaceae,Fraxinus
Operophtera brumata,Pinaceae,Larix
Operophtera brumata,Rosaceae,Malus
Operophtera brumata,Myricaceae,Myrica
Operophtera brumata,Betulaceae,Ostrya
Operophtera brumata,Pinaceae,Picea
Operophtera brumata,Salicaceae,Populus
Operophtera brumata,Rosaceae,Prunus
Operophtera brumata,Rosaceae,Pyrus
Operophtera brumata,Fagaceae,Quercus
Operophtera brumata,Rhamnaceae,Rhamnus
Operophtera brumata,Ericaceae,Rhododendron
Operophtera brumata,Grossulariaceae,Ribes
Operophtera brumata,Rosaceae,Rosa
Operophtera brumata,Rosaceae,Rubus
Operophtera brumata,Salicaceae,Salix
Operophtera brumata,Rosaceae,Sorbus
Operophtera brumata,Malvaceae,Tilia
Operophtera brumata,Ulmaceae,Ulmus
Operophtera brumata,Viburnaceae,Viburnum
Acrocercops transecta,Juglandaceae,Carya
Acrocercops transecta,Juglandaceae,Juglans
Acrocercops transecta,Ericaceae,Lyonia
Acrocercops transecta,Juglandaceae,Platycarya
Acrocercops transecta,Juglandaceae,Pterocarya
Caloptilia triadicae,Euphorbiaceae,Triadica
Cameraria ohridella,Sapindaceae,Aesculus
Philodoria splendida,Myrtaceae,Metrosideros
Phyllocnistis citrella,Rutaceae,Aegle
Phyllocnistis citrella,Lauraceae,Alseodaphne
Phyllocnistis citrella,Rutaceae,Atalantia
Phyllocnistis citrella,Lauraceae,Cinnamomum
Phyllocnistis citrella,Rutaceae,Citrus
Phyllocnistis citrella,Rutaceae,Fortunella
Phyllocnistis citrella,Clusiaceae,Garcinia
Phyllocnistis citrella,Oleaceae,Jasminum
Phyllocnistis citrella,Rutaceae,Limonia
Phyllocnistis citrella,Loranthaceae,Loranthus
Phyllocnistis citrella,Rutaceae,Murraya
Phyllocnistis citrella,Rutaceae,Poncirus
Phyllocnistis citrella,Fabaceae,Pongamia
Phyllocnistis citrella,Rutaceae,Severinia
Helicopsyche borealis,Detritophagous,
Helicopsyche borealis,Diatoms,
Phymatopus californicus,Asteraceae,Baccharis
Phymatopus californicus,Asteraceae,Eriophyllum
Phymatopus californicus,Fabaceae,Lupinus
Triodia sylvina,Boraginaceae,Echium
Triodia sylvina,Cannabaceae,Humulus
Triodia sylvina,Dennstaedtiaceae,Pteridium 
Triodia sylvina,Polygonaceae,Rumex
Triodia sylvina,Asteraceae,Taraxacum
Hylephila phyleus,Poaceae,Agrostis
Hylephila phyleus,Poaceae,Axonopus
Hylephila phyleus,Poaceae,Cenchrus
Hylephila phyleus,Poaceae,Cynodon
Hylephila phyleus,Poaceae,Digitaria
Hylephila phyleus,Poaceae,Eragrostis
Hylephila phyleus,Poaceae,Eriochloa
Hylephila phyleus,Poaceae,Panicum
Hylephila phyleus,Poaceae,Paspalum
Hylephila phyleus,Poaceae,Poa
Hylephila phyleus,Poaceae,Saccharum
Hylephila phyleus,Poaceae,Stenotaphrum
Lerema accius,Poaceae,Andropogon
Lerema accius,Poaceae,Oryzopsis
Lerema accius,Poaceae,Panicum
Lerema accius,Poaceae,Paspalum
Lerema accius,Poaceae,Pennisetum
Lerema accius,Poaceae,Saccharum
Lerema accius,Poaceae,Setaria
Lerema accius,Poaceae,Sorghum
Lerema accius,Poaceae,Stenotaphrum
Lerema accius,Poaceae,Zea
Megathymus yuccae,Asparagaceae,Yucca
Thymelicus sylvestris,Poaceae,Brachypodium
Thymelicus sylvestris,Poaceae,Holcus
Thymelicus sylvestris,Poaceae,Phleum
Urbanus proteus,Fabaceae,Amphicarpaea
Urbanus proteus,Fabaceae,Bauhinia
Urbanus proteus,Malpighiaceae,Byrsonima
Urbanus proteus,Cannaceae,Canna
Urbanus proteus,Fabaceae,Centrosema
Urbanus proteus,Fabaceae,Clitoria
Urbanus proteus,Fabaceae,Desmodium
Urbanus proteus,Fabaceae,Glycine
Urbanus proteus,Fabaceae,Lathyrus
Urbanus proteus,Fabaceae,Macroptilium
Urbanus proteus,Fabaceae,Periandra
Urbanus proteus,Fabaceae,Phaseolus
Urbanus proteus,Fabaceae,Pisum
Urbanus proteus,Fabaceae,Prosopis
Urbanus proteus,Malpighiaceae,Stigmaphyllon
Urbanus proteus,Fabaceae,Vicia
Urbanus proteus,Fabaceae,Vigna
Urbanus proteus,Fabaceae,Wisteria
Palaeagapetus nearcticus,Scapaniaceae,Scapania
Lactura subfervens,Sapotaceae,Sideroxylon
Dendrolimus pini,Pinaceae,Abies
Dendrolimus pini,Cupressaceae,Juniperus
Dendrolimus pini,Pinaceae,Larix
Dendrolimus pini,Pinaceae,Picea
Dendrolimus pini,Pinaceae,Pinus
Dendrolimus pini,Pinaceae,Pseudotsuga
Demonarosa rufotessellata,Betulaceae,Carpinus
Demonarosa rufotessellata,Fagaceae,Cyclobalanopsis
Demonarosa rufotessellata,Altingiaceae,Liquidambar
Demonarosa rufotessellata,Fagaceae,Lithocarpus
Demonarosa rufotessellata,Myricaceae,Myrica
Demonarosa rufotessellata,Fagaceae,Quercus
Calycopis cecrops,Euphorbiaceae,Croton
Calycopis cecrops,Malvaceae,Gossypium
Calycopis cecrops,Anacardiaceae,Mangifera
Calycopis cecrops,Myricaceae,Myrica
Calycopis cecrops,Fagaceae,Quercus
Calycopis cecrops,Anacardiaceae,Rhus
Calycopis cecrops,Anacardiaceae,Schinus
Hemiargus ceraunus,Fabaceae,Abrus
Hemiargus ceraunus,Fabaceae,Acacia
Hemiargus ceraunus,Fabaceae,Astragalus
Hemiargus ceraunus,Fabaceae,Cassia
Hemiargus ceraunus,Fabaceae,Chamaecrista
Hemiargus ceraunus,Fabaceae,Chapmannia
Hemiargus ceraunus,Fabaceae,Crotalaria
Hemiargus ceraunus,Fabaceae,Indigofera
Hemiargus ceraunus,Fabaceae,Macroptilium
Hemiargus ceraunus,Fabaceae,Medicago
Hemiargus ceraunus,Fabaceae,Mimosa
Hemiargus ceraunus,Fabaceae,Phaseolus
Hemiargus ceraunus,Fabaceae,Prosopis
Hemiargus ceraunus,Fabaceae,Psorothamnus
Hemiargus ceraunus,Fabaceae,Rhynchosia
Polyommatus icarus,Fabaceae,Lathyrus
Polyommatus icarus,Fabaceae,Lotus
Polyommatus icarus,Fabaceae,Medicago
Polyommatus icarus,Fabaceae,Ononis
Polyommatus icarus,Fabaceae,Oxytropis
Polyommatus icarus,Fabaceae,Trifolium
Polyommatus icarus,Fabaceae,Vicia
Polyommatus icarus,Geraniaceae,
Leucoptera coffeella,Rubiaceae,Coffea
Megalopyge crispata,Sapindaceae,Acer
Megalopyge crispata,Rosaceae,Amelanchier
Megalopyge crispata,Rosaceae,Cydonia
Megalopyge crispata,Ericaceae,Gaylussia
Megalopyge crispata,Rosaceae,Malus
Megalopyge crispata,Myricaceae,Myrica
Megalopyge crispata,Salicaceae,Populus
Megalopyge crispata,Rosaceae,Prunus
Megalopyge crispata,Rosaceae,Pyrus
Megalopyge crispata,Fagaceae,Quercus
Megalopyge crispata,Salicaceae,Salix
Megalopyge crispata,Lauraceae,Sassafras
Megalopyge crispata,Ulmaceae,Ulmus
Megalopyge crispata,Ericaceae,Vaccinium
Micropterix calthella,Detritophagous,
Lacosoma chiridota,Fagaceae,Quercus
Enteucha acetosae,Polygonaceae,Rumex
Stigmella atricapitella,Fagaceae,Quercus
Agrotis infusa,Amaranthaceae,Beta
Agrotis infusa,Brassicaceae,Brassica
Agrotis infusa,Poaceae,Hordeum
Agrotis infusa,Linaceae,Linum
Agrotis infusa,Fabaceae,Medicago
Agrotis infusa,Pinaceae,Pinus
Agrotis infusa,Fabaceae,Pisum
Agrotis infusa,Solanaceae,Solanum
Agrotis infusa,Poaceae,Triticum
Amphipyra pyramidea,Oleaceae,Fraxinus
Amphipyra pyramidea,Oleaceae,Ligustrum
Amphipyra pyramidea,Caprifoliaceae,Lonicera
Amphipyra pyramidea,Rosaceae,Malus
Amphipyra pyramidea,Fagaceae,Quercus
Amphipyra pyramidea,Ericaceae,Rhododendron
Amphipyra pyramidea,Rosaceae,Rosa
Amphipyra pyramidea,Rosaceae,Sorbus
Amphipyra pyramidea,Oleaceae,Syringa
Helicoverpa zea,Malvaceae,Abelmoschus
Helicoverpa zea,Malvaceae,Abutilon
Helicoverpa zea,Asteraceae,Ageratum
Helicoverpa zea,Amaryllidaceae,Allium
Helicoverpa zea,Amaranthaceae,Amaranthus
Helicoverpa zea,Anacardiaceae,Anacardium
Helicoverpa zea,Plantaginaceae,Antirrhinum
Helicoverpa zea,Apiaceae,Apium
Helicoverpa zea,Fabaceae,Arachis
Helicoverpa zea,Asparagaceae,Asparagus
Helicoverpa zea,Solanaceae,Atropa
Helicoverpa zea,Poaceae,Avena
Helicoverpa zea,Amaranthaceae,Beta
Helicoverpa zea,Poaceae,Brachiaria
Helicoverpa zea,Brassicaceae,Brassica
Helicoverpa zea,Fabaceae,Caesalpinia
Helicoverpa zea,Fabaceae,Cajanus
Helicoverpa zea,Lamiaceae,Clinopodium
Helicoverpa zea,Cannaceae,Canna
Helicoverpa zea,Cannabaceae,Cannabis
Helicoverpa zea,Solanaceae,Capsicum
Helicoverpa zea,Asteraceae,Carduus
Helicoverpa zea,Caricaceae,Carica
Helicoverpa zea,Asteraceae,Carthamus
Helicoverpa zea,Amaranthaceae,Chenopodium
Helicoverpa zea,Asteraceae,Chrysanthemum
Helicoverpa zea,Fabaceae,Cicer
Helicoverpa zea,Cucurbitaceae,Citrullus
Helicoverpa zea,Rutaceae,Citrus
Helicoverpa zea,Cleomaceae,Cleome
Helicoverpa zea,Rubiaceae,Coffea
Helicoverpa zea,Asteraceae,Croptilon
Helicoverpa zea,Fabaceae,Crotalaria
Helicoverpa zea,Cucurbitaceae,Cucumis
